"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_empty_field[empty_strings]","tests","Fri May 15 13:07:19 UTC 2026","passed","Fri May 15 13:07:19 UTC 2026","TestApi","test_api","",""
"","42","test_external_zip_api[Уфа]","tests","Fri May 15 13:06:42 UTC 2026","passed","Fri May 15 13:06:42 UTC 2026","TestApi","test_api","",""
"","1216","test_city_field","tests","Fri May 15 13:07:33 UTC 2026","passed","Fri May 15 13:07:34 UTC 2026","TestUI","test_ui","",""
"","2","test_empty_field[newlines]","tests","Fri May 15 13:07:19 UTC 2026","passed","Fri May 15 13:07:19 UTC 2026","TestApi","test_api","",""
"","14068","test_slow_db_response","tests","Fri May 15 13:07:37 UTC 2026","passed","Fri May 15 13:07:51 UTC 2026","TestUI","test_ui","",""
"","10","test_duplicate","tests","Fri May 15 13:06:42 UTC 2026","passed","Fri May 15 13:06:42 UTC 2026","TestApi","test_api","",""
"","840","test_duplicate","tests","Fri May 15 13:07:36 UTC 2026","passed","Fri May 15 13:07:37 UTC 2026","TestUI","test_ui","",""
"","45","test_external_zip_api[Мурманск]","tests","Fri May 15 13:06:42 UTC 2026","passed","Fri May 15 13:06:42 UTC 2026","TestApi","test_api","",""
"","37038","test_slow_db","tests","Fri May 15 13:06:42 UTC 2026","passed","Fri May 15 13:07:19 UTC 2026","TestApi","test_api","",""
"","41","test_incorrect_zip","tests","Fri May 15 13:07:19 UTC 2026","passed","Fri May 15 13:07:19 UTC 2026","TestApi","test_api","",""
"","5","test_data_loss","tests","Fri May 15 13:06:42 UTC 2026","passed","Fri May 15 13:06:42 UTC 2026","TestApi","test_api","",""
"","3","test_empty_field[spaces]","tests","Fri May 15 13:07:19 UTC 2026","passed","Fri May 15 13:07:19 UTC 2026","TestApi","test_api","",""
"Технический тест для проверки эндпоинта самоочистки БД","16","test_verify_clean_db_logic","tests","Fri May 15 13:07:19 UTC 2026","passed","Fri May 15 13:07:19 UTC 2026","TestApi","test_api","",""
"","70","test_external_zip_api[Москва]","tests","Fri May 15 13:06:42 UTC 2026","passed","Fri May 15 13:06:42 UTC 2026","TestApi","test_api","",""
"","778","test_ghost_button","tests","Fri May 15 13:07:52 UTC 2026","passed","Fri May 15 13:07:53 UTC 2026","TestUI","test_ui","",""
"","10","test_success_save","tests","Fri May 15 13:06:42 UTC 2026","passed","Fri May 15 13:06:42 UTC 2026","TestApi","test_api","",""
"","822","test_success_save","tests","Fri May 15 13:07:35 UTC 2026","passed","Fri May 15 13:07:36 UTC 2026","TestUI","test_ui","",""
"","48","test_external_zip_api[Beverly Hills]","tests","Fri May 15 13:06:42 UTC 2026","passed","Fri May 15 13:06:42 UTC 2026","TestApi","test_api","",""
